term;explanation;source
Example;new comment;user
New commmmmm;asdfasdfasdfasdfasdf asldfakljsdfiouqhwioeuhfnbjklhasldjhfiklhpjiadxn alshdgfiashdfopiahsidjufhlaksdhf[h paiushdfiahsd,fkhalksdfasdfasdfasdfasdfasdfasdf asldfakljsdfiouqhwioeuhfnbjklhasldjhfiklhpjiadxn alshdgfiashdfopiahsidjufhlaksdhf[h paiushdfiahsd,fkhalksdfasdfasdfasdfasdfasdfasdf asldfakljsdfiouqhwioeuhfnbjklhasldjhfiklhpjiadxn alshdgfiashdfopiahsidjufhlaksdhf[h paiushdfiahsd,fkhalksdfasdfasdfasdfasdfasdfasdf asldfakljsdfiouqhwioeuhfnbjklhasldjhfiklhpjiadxn alshdgfiashdfopiahsidjufhlaksdhf[h paiushdfiahsd,fkhalksdfasdfasdfasdfasdfasdfasdf asldfakljsdfiouqhwioeuhfnbjklhasldjhfiklhpjiadxn alshdgfiashdfopiahsidjufhlaksdhf[h paiushdfiahsd,fkhalksdfasdfasdfasdfasdfasdfasdf asldfakljsdfiouqhwioeuhfnbjklhasldjhfiklhpjiadxn alshdgfiashdfopiahsidjufhlaksdhf[h paiushdfiahsd,fkhalksdfasdfasdfasdfasdfasdfasdf asldfakljsdfiouqhwioeuhfnbjklhasldjhfiklhpjiadxn alshdgfiashdfopiahsidjufhlaksdhf[h paiushdfiahsd,fkhalksdfasdf;user
Sonya;coll site, bro;user
asdf;asdf;user
asdf;asdf;user
asdf;asdf;user
asdf;asdf;user
asdf;asdf;user
asdf;asdf;user
asdf;asdf;user
asdfasdf;asdfasdfasdf;user
asdfasdf;asdfasdfasdfasdf;user
asdfasdf;asdfasdfasdfasdf;user
asedfasdf;asdfasdf;user
sdfg;sdfg;user
фыва;вафыва;user
фывафыва;фывафывафыва;user